Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      873     0.00     0.00  std::operator!=(std::_List_const_iterator<StackElement> const&, std::_List_const_iterator<StackElement> const&)
  0.00      0.00     0.00      861     0.00     0.00  std::_List_iterator<StackElement>::operator*() const
  0.00      0.00     0.00      861     0.00     0.00  std::__cxx11::list<StackElement, std::allocator<StackElement> >::front()
  0.00      0.00     0.00      831     0.00     0.00  std::_Deque_base<StackElement, std::allocator<StackElement> >::_M_destroy_nodes(StackElement**, StackElement**)
  0.00      0.00     0.00      831     0.00     0.00  void std::_Destroy_aux<false>::__destroy<StackElement*>(StackElement*, StackElement*)
  0.00      0.00     0.00      831     0.00     0.00  std::deque<StackElement, std::allocator<StackElement> >::_M_destroy_data(std::_Deque_iterator<StackElement, StackElement&, StackElement*>, std::_Deque_iterator<StackElement, StackElement&, StackElement*>, std::allocator<StackElement> const&)
  0.00      0.00     0.00      831     0.00     0.00  std::deque<StackElement, std::allocator<StackElement> >::_M_destroy_data_aux(std::_Deque_iterator<StackElement, StackElement&, StackElement*>, std::_Deque_iterator<StackElement, StackElement&, StackElement*>)
  0.00      0.00     0.00      831     0.00     0.00  std::deque<StackElement, std::allocator<StackElement> >::begin()
  0.00      0.00     0.00      831     0.00     0.00  void std::_Destroy<StackElement*>(StackElement*, StackElement*)
  0.00      0.00     0.00      831     0.00     0.00  void std::_Destroy<StackElement*, StackElement>(StackElement*, StackElement*, std::allocator<StackElement>&)
  0.00      0.00     0.00      808     0.00     0.00  std::deque<StackElement, std::allocator<StackElement> >::size() const
  0.00      0.00     0.00      808     0.00     0.00  std::_Deque_iterator<StackElement, StackElement&, StackElement*>::difference_type std::operator-<StackElement, StackElement&, StackElement*>(std::_Deque_iterator<StackElement, StackElement&, StackElement*> const&, std::_Deque_iterator<StackElement, StackElement&, StackElement*> const&)
  0.00      0.00     0.00      778     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<StackElement> >::deallocate(std::_List_node<StackElement>*, unsigned long)
  0.00      0.00     0.00      778     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<StackElement> >::destroy<StackElement>(StackElement*)
  0.00      0.00     0.00      778     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<StackElement> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00      778     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<StackElement> >::construct<StackElement, StackElement const&>(StackElement*, StackElement const&)
  0.00      0.00     0.00      778     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<StackElement> >::max_size() const
  0.00      0.00     0.00      778     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<StackElement> > >::__allocated_ptr(std::allocator<std::_List_node<StackElement> >&, std::_List_node<StackElement>*)
  0.00      0.00     0.00      778     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<StackElement> > >::~__allocated_ptr()
  0.00      0.00     0.00      778     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<StackElement> > >::operator=(decltype(nullptr))
  0.00      0.00     0.00      778     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<StackElement> > >::deallocate(std::allocator<std::_List_node<StackElement> >&, std::_List_node<StackElement>*, unsigned long)
  0.00      0.00     0.00      778     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<StackElement> > >::destroy<StackElement>(std::allocator<std::_List_node<StackElement> >&, StackElement*)
  0.00      0.00     0.00      778     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<StackElement> > >::allocate(std::allocator<std::_List_node<StackElement> >&, unsigned long)
  0.00      0.00     0.00      778     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<StackElement> > >::construct<StackElement, StackElement const&>(std::allocator<std::_List_node<StackElement> >&, StackElement*, StackElement const&)
  0.00      0.00     0.00      778     0.00     0.00  std::__cxx11::_List_base<StackElement, std::allocator<StackElement> >::_M_get_node()
  0.00      0.00     0.00      778     0.00     0.00  std::__cxx11::_List_base<StackElement, std::allocator<StackElement> >::_M_inc_size(unsigned long)
  0.00      0.00     0.00      778     0.00     0.00  std::__cxx11::_List_base<StackElement, std::allocator<StackElement> >::_M_put_node(std::_List_node<StackElement>*)
  0.00      0.00     0.00      778     0.00     0.00  std::_List_node<StackElement>* std::__cxx11::list<StackElement, std::allocator<StackElement> >::_M_create_node<StackElement const&>(StackElement const&)
  0.00      0.00     0.00      778     0.00     0.00  std::__cxx11::list<StackElement, std::allocator<StackElement> >::end()
  0.00      0.00     0.00      778     0.00     0.00  void std::__cxx11::list<StackElement, std::allocator<StackElement> >::_M_insert<StackElement const&>(std::_List_iterator<StackElement>, StackElement const&)
  0.00      0.00     0.00      778     0.00     0.00  std::allocator<std::_List_node<StackElement> >* std::__addressof<std::allocator<std::_List_node<StackElement> > >(std::allocator<std::_List_node<StackElement> >&)
  0.00      0.00     0.00      736     0.00     0.00  __gnu_cxx::new_allocator<StackElement>::deallocate(StackElement*, unsigned long)
  0.00      0.00     0.00      736     0.00     0.00  __gnu_cxx::new_allocator<StackElement>::allocate(unsigned long, void const*)
  0.00      0.00     0.00      736     0.00     0.00  __gnu_cxx::new_allocator<StackElement*>::deallocate(StackElement**, unsigned long)
  0.00      0.00     0.00      736     0.00     0.00  __gnu_cxx::new_allocator<StackElement*>::allocate(unsigned long, void const*)
